id,run2_initial_answer,run2_initial_confidence,run2_answer,run2_confidence
Q0001,C,78,C,82
Q0002,E,99,E,99
Q0003,C,99,C,99
Q0004,D,88,D,86
Q0005,B,99,B,99
Q0006,C,93,C,93
Q0007,D,95,D,95
Q0008,C,99,C,99
Q0009,C,99,C,99
Q0010,B,55,B,70
Q0011,E,96,E,96
Q0012,D,96,D,96
Q0013,B,100,B,100
Q0014,E,92,E,95
Q0015,D,99,D,99
Q0016,B,91,B,92
Q0017,E,95,E,95
Q0018,E,100,E,100
Q0019,B,98,B,98
Q0020,E,94,E,94
Q0021,C,92,C,92
Q0022,D,93,D,95
Q0023,D,97,D,98
Q0024,A,82,A,82
Q0025,A,99,A,99
Q0026,E,100,E,100
Q0027,E,95,E,95
Q0028,A,99,A,99
Q0029,D,96,D,96
Q0030,D,96,D,96
Q0031,E,98,E,98
Q0032,C,76,C,76
Q0033,E,99,E,99
Q0034,B,99,B,99
Q0035,B,96,B,96
Q0036,A,95,A,95
Q0037,E,99,E,99
Q0038,A,95,A,97
Q0039,E,98,E,99
Q0040,A,99,A,99
Q0041,D,99,D,99
Q0042,C,95,C,95
Q0043,A,91,A,91
Q0044,C,94,C,97
Q0045,B,67,B,72
Q0046,E,98,E,98
Q0047,C,100,C,100
Q0048,A,98,A,98
Q0049,B,92,B,94
Q0050,D,98,D,98
Q0051,E,99,E,99
Q0052,A,97,A,97
Q0053,D,92,D,94
Q0054,D,72,D,72
Q0055,B,99,B,99
Q0056,B,99,B,99
Q0057,C,100,C,100
Q0058,B,99,B,99
Q0059,C,99,C,99
Q0060,A,73,A,78
Q0061,D,99,D,99
Q0062,A,99,A,99
Q0063,D,88,D,88
Q0064,A,98,A,98
Q0065,A,82,A,65
Q0066,C,95,C,95
Q0067,D,100,D,100
Q0068,C,99,C,99
Q0069,D,99,D,99
Q0070,A,92,A,92
Q0071,A,95,A,96
Q0072,A,94,A,94
Q0073,C,92,C,92
Q0074,D,72,D,72
Q0075,C,97,C,97
Q0076,A,99,A,99
Q0077,B,98,B,98
Q0078,B,93,B,95
Q0079,D,99,D,99
Q0080,C,98,C,99
Q0081,B,99,B,99
Q0082,B,98,B,99
Q0083,C,96,C,96
Q0084,B,99,B,99
Q0085,D,98,D,98
Q0086,C,98,C,98
Q0087,C,96,C,96
Q0088,D,94,D,96
Q0089,C,98,C,98
Q0090,C,99,C,99
Q0091,E,99,E,99
Q0092,B,96,B,96
Q0093,D,98,D,98
Q0094,E,95,E,95
Q0095,C,99,C,99
Q0096,D,92,D,90
Q0097,A,95,A,97
Q0098,B,99,B,99
Q0099,C,98,C,98
Q0100,C,99,C,99
Q0101,E,96,E,98
Q0102,A,99,A,99
Q0103,A,99,A,99
Q0104,A,99,A,99
Q0105,C,99,C,99
Q0106,B,99,B,99
Q0107,C,78,C,84
Q0108,A,99,A,99
Q0109,E,97,E,97
Q0110,C,95,C,96
Q0111,D,94,D,96
Q0112,C,98,C,98
Q0113,A,94,A,94
Q0114,D,99,D,99
Q0115,D,94,D,96
Q0116,E,98,E,99
Q0117,D,98,D,98
Q0118,D,94,D,94
Q0119,E,99,E,99
Q0120,C,98,C,98
Q0121,D,98,D,98
Q0122,B,99,B,99
Q0123,E,99,E,99
Q0124,A,92,A,90
Q0125,B,99,B,99
Q0126,A,95,A,95
Q0127,A,98,A,98
Q0128,D,99,D,99
Q0129,A,72,A,67
Q0130,A,99,A,99
Q0131,B,99,B,99
Q0132,B,98,B,99
Q0133,A,99,A,99
Q0134,B,98,B,98
Q0135,A,98,A,98
Q0136,C,99,C,99
Q0137,D,98,D,98
Q0138,E,99,E,99
Q0139,C,98,C,98
Q0140,D,70,D,72
Q0141,D,92,D,92
Q0142,A,96,A,96
Q0143,A,100,A,100
Q0144,B,99,B,99
Q0145,D,96,D,96
Q0146,D,98,D,98
Q0147,D,97,D,98
Q0148,D,94,D,96
Q0149,B,98,B,98
Q0150,A,83,A,86
Q0151,A,97,A,97
Q0152,E,100,E,99
Q0153,A,98,A,98
Q0154,A,99,A,99
Q0155,D,99,D,99
Q0156,E,95,E,95
Q0157,B,99,B,99
Q0158,A,99,A,99
Q0159,D,96,D,96
Q0160,C,99,C,99
Q0161,C,55,C,70
Q0162,B,99,B,99
Q0163,D,99,D,99
Q0164,A,99,A,99
Q0165,A,100,A,100
Q0166,B,98,B,99
Q0167,B,99,B,99
Q0168,D,94,D,94
Q0169,B,98,B,98
Q0170,D,99,D,99
Q0171,C,98,C,98
Q0172,D,98,D,99
Q0173,C,98,C,98
Q0174,A,96,A,98
Q0175,E,99,E,99
Q0176,D,99,D,99
Q0177,E,100,E,100
Q0178,D,98,D,99
Q0179,D,97,D,97
Q0180,D,96,D,96
Q0181,B,92,B,92
Q0182,E,98,E,99
Q0183,B,92,B,92
Q0184,E,98,E,98
Q0185,B,96,B,96
Q0186,D,96,D,96
Q0187,C,99,C,99
Q0188,B,100,B,100
Q0189,E,95,E,95
Q0190,C,99,C,99
Q0191,A,99,A,99
Q0192,D,99,D,99
Q0193,E,99,E,99
Q0194,C,99,C,99
Q0195,C,99,C,99
Q0196,C,98,C,98
Q0197,B,42,B,35
Q0198,C,98,C,98
Q0199,E,79,E,86
Q0200,D,98,D,99
Q0201,B,99,B,99
Q0202,B,99,B,99
Q0203,C,54,C,70
Q0204,A,98,A,99
Q0205,C,99,C,99
Q0206,B,99,B,99
Q0207,D,100,D,100
Q0208,A,95,A,95
Q0209,B,96,B,96
Q0210,A,96,A,96
Q0211,C,99,C,99
Q0212,D,74,B,72
Q0213,A,95,A,97
Q0214,A,99,A,99
Q0215,B,98,B,98
Q0216,D,66,D,72
Q0217,E,95,E,95
Q0218,D,98,D,98
Q0219,E,99,E,99
Q0220,A,99,A,99
Q0221,D,99,D,99
Q0222,A,92,A,93
Q0223,D,92,D,93
Q0224,A,99,A,99
Q0225,C,99,C,99
Q0226,C,99,C,99
Q0227,D,92,D,90
Q0228,D,93,D,93
Q0229,A,88,A,88
Q0230,E,96,E,96
Q0231,C,99,C,99
Q0232,A,88,A,88
Q0233,D,94,D,96
Q0234,B,99,B,99
Q0235,D,95,D,95
Q0236,B,99,B,99
Q0237,A,99,A,99
Q0238,B,95,B,95
Q0239,B,88,B,90
Q0240,A,93,A,93
Q0241,E,98,E,98
Q0242,B,90,B,88
Q0243,A,93,A,93
Q0244,A,75,A,78
Q0245,E,90,E,90
Q0246,D,86,D,88
Q0247,A,91,A,88
Q0248,D,99,D,99
Q0249,C,98,C,98
Q0250,B,100,B,100
Q0251,D,88,D,88
Q0252,B,99,B,99
Q0253,A,88,A,88
Q0254,D,95,D,95
Q0255,A,92,A,92
Q0256,C,99,C,99
Q0257,D,85,D,85
Q0258,D,97,D,97
Q0259,E,98,E,98
Q0260,D,100,D,100
Q0261,C,94,C,94
Q0262,C,98,C,98
Q0263,E,96,E,96
Q0264,C,98,C,98
Q0265,A,98,A,98
Q0266,A,88,A,85
Q0267,B,85,B,85
Q0268,E,100,E,100
Q0269,E,99,E,99
Q0270,D,98,D,98
Q0271,C,99,C,99
Q0272,B,86,B,86
Q0273,C,99,C,99
Q0274,A,94,A,94
Q0275,A,99,A,99
Q0276,A,98,A,98
Q0277,C,99,C,99
Q0278,D,96,D,96
Q0279,D,72,A,70
Q0280,B,98,B,98
Q0281,B,99,B,99
Q0282,D,99,D,99
Q0283,A,92,A,92
Q0284,C,86,C,86
Q0285,B,62,B,58
Q0286,E,94,E,94
Q0287,D,100,D,100
Q0288,A,92,A,92
Q0289,B,97,B,97
Q0290,D,99,D,99
Q0291,A,85,A,90
Q0292,A,98,A,98
Q0293,D,78,B,72
Q0294,A,100,A,100
Q0295,A,99,A,99
Q0296,B,99,B,99
Q0297,A,98,A,98
Q0298,D,96,D,96
Q0299,E,99,E,99
Q0300,B,100,B,100
Q0301,D,86,D,88
Q0302,D,92,D,92
Q0303,A,100,A,100
Q0304,E,62,D,55
Q0305,A,99,A,99
Q0306,B,99,B,99
Q0307,C,94,C,94
Q0308,B,88,B,80
Q0309,C,99,C,99
Q0310,D,100,D,100
Q0311,B,96,B,98
Q0312,D,76,D,76
Q0313,B,99,B,99
Q0314,B,98,B,98
Q0315,A,70,A,75
Q0316,B,98,B,98
Q0317,A,98,A,98
Q0318,B,88,B,88
Q0319,C,95,C,95
Q0320,B,98,B,98
Q0321,D,96,D,96
Q0322,A,63,A,70
Q0323,E,84,E,87
Q0324,C,99,C,99
