id,run2_initial_answer,run2_initial_confidence,run2_answer,run2_confidence
Q0001,C,83,B,94
Q0002,E,99,E,99
Q0003,C,99,C,99
Q0004,D,88,D,89
Q0005,B,98,B,99
Q0006,C,93,C,95
Q0007,D,91,D,93
Q0008,C,97,C,98
Q0009,C,98,C,99
Q0010,C,73,C,78
Q0011,E,98,E,99
Q0012,D,98,D,99
Q0013,B,99,B,99
Q0014,D,72,D,78
Q0015,D,99,D,99
Q0016,B,89,B,82
Q0017,E,94,E,97
Q0018,E,99,E,99
Q0019,B,98,B,99
Q0020,E,96,E,98
Q0021,C,94,C,96
Q0022,A,92,A,94
Q0023,D,96,D,98
Q0024,E,78,A,90
Q0025,A,98,A,99
Q0026,E,99,E,99
Q0027,E,98,E,99
Q0028,A,99,A,99
Q0029,D,94,D,96
Q0030,D,97,D,98
Q0031,E,98,E,99
Q0032,D,83,D,66
Q0033,E,98,E,99
Q0034,B,94,B,97
Q0035,B,96,B,98
Q0036,A,98,A,99
Q0037,E,97,E,99
Q0038,A,96,A,98
Q0039,C,93,C,97
Q0040,A,98,A,99
Q0041,D,99,D,99
Q0042,C,94,C,96
Q0043,A,98,A,99
Q0044,C,98,C,99
Q0045,D,95,D,96
Q0046,E,98,E,99
Q0047,D,98,D,99
Q0048,A,96,A,98
Q0049,B,89,B,92
Q0050,D,97,D,99
Q0051,E,98,E,99
Q0052,A,91,A,93
Q0053,D,93,D,95
Q0054,D,96,D,97
Q0055,B,99,B,99
Q0056,B,99,B,99
Q0057,C,98,C,99
Q0058,B,98,B,99
Q0059,C,99,C,99
Q0060,C,93,C,95
Q0061,D,99,D,99
Q0062,A,99,A,99
Q0063,D,96,D,98
Q0064,A,97,A,98
Q0065,C,98,C,99
Q0066,C,93,C,95
Q0067,D,99,D,99
Q0068,C,99,C,99
Q0069,D,99,D,99
Q0070,E,88,E,92
Q0071,A,95,A,97
Q0072,A,94,A,96
Q0073,C,96,C,98
Q0074,B,93,B,95
Q0075,C,96,C,98
Q0076,A,99,A,99
Q0077,B,98,B,99
Q0078,B,97,B,99
Q0079,D,99,D,99
Q0080,C,98,C,99
Q0081,B,98,B,99
Q0082,B,96,B,98
Q0083,C,94,C,96
Q0084,B,98,B,99
Q0085,D,99,D,99
Q0086,C,96,C,97
Q0087,C,95,C,97
Q0088,D,98,D,99
Q0089,C,91,C,94
Q0090,C,98,C,99
Q0091,E,99,E,99
Q0092,B,90,B,94
Q0093,D,99,D,99
Q0094,E,98,E,99
Q0095,C,99,C,99
Q0096,D,98,D,99
Q0097,C,93,C,95
Q0098,B,99,B,99
Q0099,C,95,C,97
Q0100,C,98,C,99
Q0101,E,95,E,97
Q0102,A,98,A,99
Q0103,A,97,A,99
Q0104,A,99,A,99
Q0105,C,99,C,99
Q0106,B,99,B,99
Q0107,A,86,A,90
Q0108,A,97,A,98
Q0109,E,98,E,99
Q0110,C,95,C,97
Q0111,D,99,D,99
Q0112,C,98,C,99
Q0113,B,89,B,92
