id,run1_answer,run1_confidence
Q0001,C,86
Q0002,E,99
Q0003,C,99
Q0004,D,74
Q0005,B,99
Q0006,C,95
Q0007,D,93
Q0008,C,98
Q0009,C,99
Q0010,B,68
Q0011,E,97
Q0012,D,95
Q0013,B,99
Q0014,E,97
Q0015,D,98
Q0016,B,90
Q0017,E,96
Q0018,E,99
Q0019,B,98
Q0020,E,92
Q0021,C,88
Q0022,D,95
Q0023,D,99
Q0024,A,82
Q0025,A,98
Q0026,E,100
Q0027,E,97
Q0028,A,99
Q0029,D,92
Q0030,D,96
Q0031,E,99
Q0032,C,55
Q0033,E,97
Q0034,B,99
Q0035,B,96
Q0036,A,95
Q0037,E,99
Q0038,A,96
Q0039,E,96
Q0040,A,98
Q0041,D,99
Q0042,C,96
Q0043,A,96
Q0044,C,98
Q0045,D,87
Q0046,E,96
Q0047,C,100
Q0048,A,98
Q0049,B,92
Q0050,D,99
Q0051,E,99
Q0052,A,96
Q0053,D,96
Q0054,D,90
Q0055,B,99
Q0056,B,99
Q0057,C,99
Q0058,B,99
Q0059,C,99
Q0060,C,80
Q0061,D,99
Q0062,A,100
Q0063,D,91
Q0064,A,95
Q0065,A,80
Q0066,C,96
Q0067,D,99
Q0068,C,99
Q0069,D,99
Q0070,A,92
Q0071,A,95
Q0072,A,96
Q0073,C,94
Q0074,B,72
Q0075,C,94
Q0076,A,100
Q0077,B,98
Q0078,B,95
Q0079,D,99
Q0080,C,98
Q0081,B,98
Q0082,B,94
Q0083,C,98
Q0084,B,99
Q0085,D,99
Q0086,C,98
Q0087,C,98
Q0088,D,98
Q0089,C,96
Q0090,C,99
Q0091,E,99
Q0092,B,95
Q0093,D,98
Q0094,E,95
Q0095,C,98
Q0096,D,95
Q0097,A,93
Q0098,B,99
Q0099,C,95
Q0100,C,99
Q0101,E,94
Q0102,A,99
Q0103,A,99
Q0104,A,100
Q0105,C,99
Q0106,B,99
Q0107,C,80
Q0108,A,98
Q0109,E,96
Q0110,C,96
Q0111,D,97
Q0112,C,98
Q0113,A,86
Q0114,D,99
Q0115,D,96
Q0116,E,98
Q0117,D,98
Q0118,D,86
Q0119,E,99
Q0120,C,98
Q0121,D,98
Q0122,B,99
Q0123,E,99
Q0124,A,86
Q0125,B,99
Q0126,A,95
Q0127,A,96
Q0128,D,100
Q0129,A,74
Q0130,A,99
Q0131,B,99
Q0132,B,99
Q0133,A,98
Q0134,B,99
Q0135,A,99
Q0136,C,99
Q0137,D,98
Q0138,E,99
Q0139,C,99
Q0140,D,70
Q0141,D,95
Q0142,A,95
Q0143,A,99
Q0144,B,99
Q0145,D,93
Q0146,D,96
Q0147,D,98
Q0148,D,92
Q0149,B,98
Q0150,A,92
Q0151,A,99
Q0152,E,99
Q0153,A,98
Q0154,A,99
Q0155,D,99
Q0156,E,96
Q0157,B,99
Q0158,A,99
Q0159,D,98
Q0160,C,99
Q0161,C,52
Q0162,B,99
Q0163,D,99
Q0164,A,99
Q0165,A,100
Q0166,B,98
Q0167,B,99
Q0168,D,95
Q0169,B,98
Q0170,D,99
Q0171,C,99
Q0172,D,99
Q0173,C,93
Q0174,A,96
Q0175,E,98
Q0176,D,100
Q0177,E,100
Q0178,D,98
Q0179,D,96
Q0180,D,96
Q0181,B,93
Q0182,E,98
Q0183,B,94
Q0184,E,96
Q0185,B,96
Q0186,D,96
Q0187,C,98
Q0188,B,100
Q0189,E,93
Q0190,C,99
Q0191,A,99
Q0192,D,99
Q0193,E,99
Q0194,C,99
Q0195,C,99
Q0196,C,98
Q0197,B,55
Q0198,C,98
Q0199,E,93
Q0200,D,98
Q0201,B,99
Q0202,B,99
Q0203,C,58
Q0204,A,98
Q0205,C,99
Q0206,B,99
Q0207,D,99
Q0208,A,95
Q0209,B,97
Q0210,A,96
Q0211,C,99
Q0212,D,72
Q0213,A,96
Q0214,A,99
Q0215,B,98
Q0216,D,78
Q0217,E,93
Q0218,D,99
Q0219,E,99
Q0220,A,99
Q0221,D,98
Q0222,A,92
Q0223,D,88
Q0224,A,99
Q0225,C,99
Q0226,C,100
Q0227,D,95
Q0228,D,98
Q0229,A,92
Q0230,E,96
Q0231,C,100
Q0232,A,92
Q0233,D,96
Q0234,B,100
Q0235,D,96
Q0236,B,99
Q0237,A,99
Q0238,B,93
Q0239,B,91
Q0240,A,96
Q0241,E,98
Q0242,B,90
Q0243,A,94
