id,run2_initial_answer,run2_initial_confidence,run2_answer,run2_confidence
Q0001,C,95.0,C,95.0
Q0002,E,100.0,E,100.0
Q0003,C,100.0,C,100.0
Q0004,D,95.0,D,100.0
Q0005,B,95.0,B,98.0
Q0006,C,95.0,C,98.0
Q0007,D,95.0,D,98.0
Q0008,C,100.0,C,100.0
Q0009,C,95.0,C,100.0
Q0010,D,95.0,D,98.0
Q0011,E,100.0,E,100.0
Q0012,D,95.0,D,98.0
Q0013,B,99.0,B,100.0
Q0014,E,100.0,E,100.0
Q0015,D,100.0,D,100.0
Q0016,B,95.0,B,98.0
Q0017,E,95.0,E,98.0
Q0018,E,100.0,E,100.0
Q0019,B,98.0,B,99.0
Q0020,E,95.0,E,98.0
Q0021,C,90.0,C,95.0
Q0022,D,95.0,D,98.0
Q0023,D,95.0,D,98.0
Q0024,A,95.0,A,95.0
Q0025,A,98.0,A,99.0
Q0026,E,100.0,E,100.0
Q0027,E,100.0,E,100.0
Q0028,A,100.0,A,100.0
Q0029,D,98.0,D,99.0
Q0030,D,99.0,D,99.0
Q0031,E,99.0,E,100.0
Q0032,D,85.0,C,95.0
Q0033,E,95.0,E,98.0
Q0034,B,100.0,B,100.0
Q0035,B,95.0,B,95.0
Q0036,A,95.0,A,98.0
Q0037,E,100.0,E,100.0
Q0038,A,95.0,A,98.0
Q0039,E,100.0,E,100.0
Q0040,A,100.0,A,100.0
Q0041,D,99.0,D,100.0
Q0042,C,95.0,C,98.0
Q0043,A,95.0,A,98.0
Q0044,C,100.0,C,100.0
Q0045,B,90.0,B,95.0
Q0047,C,100.0,C,100.0
Q0048,A,95.0,A,98.0
Q0049,B,95.0,B,98.0
Q0050,D,100.0,D,100.0
Q0051,E,100.0,E,100.0
Q0052,A,90.0,A,95.0
Q0053,D,95.0,D,98.0
Q0054,D,85.0,D,95.0
Q0055,B,95.0,B,99.0
Q0056,B,100.0,B,100.0
Q0057,C,100.0,C,100.0
Q0058,B,98.0,B,100.0
Q0059,C,100.0,C,100.0
Q0060,C,95.0,C,98.0
Q0061,D,100.0,D,100.0
Q0062,A,100.0,A,100.0
Q0063,D,95.0,D,98.0
Q0064,A,95.0,A,98.0
Q0065,A,85.0,C,90.0
Q0066,C,95.0,C,98.0
Q0067,D,100.0,D,100.0
Q0068,C,100.0,C,100.0
Q0070,A,95.0,A,98.0
Q0071,A,95.0,A,98.0
Q0072,A,95.0,A,98.0
Q0073,C,95.0,C,95.0
Q0074,B,85.0,B,90.0
Q0075,C,95.0,C,98.0
Q0076,A,100.0,A,100.0
Q0077,B,95.0,B,98.0
Q0078,B,98.0,B,99.0
Q0079,D,100.0,D,100.0
Q0080,C,95.0,C,98.0
Q0081,B,98.0,B,99.0
Q0082,B,95.0,B,98.0
Q0083,C,100.0,C,100.0
Q0084,B,100.0,B,100.0
Q0085,D,99.0,D,100.0
Q0086,C,95.0,C,98.0
Q0087,C,95.0,C,99.0
Q0088,D,95.0,D,98.0
Q0089,C,95.0,C,98.0
Q0090,C,100.0,C,100.0
Q0091,E,100.0,E,100.0
Q0092,B,95.0,B,98.0
Q0093,D,100.0,D,100.0
Q0094,E,95.0,E,98.0
Q0095,C,98.0,C,99.0
Q0096,D,95.0,D,98.0
Q0097,A,100.0,A,100.0
Q0098,B,100.0,B,100.0
Q0099,C,95.0,C,95.0
Q0100,C,100.0,C,100.0
Q0101,E,98.0,E,99.0
Q0102,A,100.0,A,100.0
Q0103,A,100.0,A,100.0
Q0104,A,100.0,A,100.0
Q0105,C,100.0,C,100.0
Q0107,C,90.0,C,95.0
Q0108,A,95.0,A,98.0
Q0109,E,98.0,E,99.0
Q0110,C,95.0,C,95.0
Q0111,D,95.0,D,98.0
Q0112,C,95.0,C,98.0
Q0113,B,85.0,A,95.0
Q0114,D,100.0,D,100.0
Q0115,D,95.0,D,99.0
Q0116,E,95.0,E,100.0
Q0117,D,98.0,D,99.0
Q0118,D,95.0,D,98.0
Q0119,E,95.0,E,99.0
Q0120,C,95.0,C,99.0
Q0121,D,95.0,D,95.0
Q0122,B,100.0,B,100.0
Q0123,E,98.0,E,99.0
Q0124,A,95.0,A,98.0
Q0125,B,99.0,B,100.0
Q0127,A,100.0,A,100.0
Q0128,D,100.0,D,100.0
Q0129,A,95.0,A,98.0
Q0130,A,100.0,A,100.0
Q0131,B,98.0,B,99.0
Q0132,B,99.0,B,100.0
Q0133,A,98.0,A,99.0
Q0134,B,95.0,B,98.0
Q0135,A,100.0,A,100.0
Q0136,C,98.0,C,100.0
