id,run2_initial_answer,run2_initial_confidence,run2_answer,run2_confidence
Q0001,B,92,B,92
Q0002,E,88,E,88
Q0003,C,96,C,96
Q0004,D,78,D,78
Q0005,B,92,B,92
Q0006,C,92,C,92
Q0007,D,78,D,78
Q0008,C,95,C,95
Q0009,C,97,C,97
Q0010,A,72,A,72
Q0011,E,92,E,92
Q0012,D,92,D,92
Q0013,B,93,B,93
Q0014,E,63,E,63
Q0015,D,96,D,96
Q0016,B,72,B,72
Q0017,E,92,E,92
Q0018,E,97,E,98
Q0019,B,94,B,94
Q0020,E,86,E,86
Q0021,C,88,C,88
Q0022,D,73,D,73
Q0023,D,78,E,80
Q0024,A,72,A,72
Q0025,A,90,A,90
Q0026,E,97,E,97
Q0027,E,91,E,91
Q0028,A,97,A,97
Q0029,D,87,D,87
Q0030,D,92,D,92
Q0031,B,78,B,78
Q0032,D,62,D,62
Q0033,E,86,E,86
Q0034,B,84,B,84
Q0035,E,56,B,78
Q0036,A,94,A,94
Q0037,E,92,E,92
Q0038,A,85,A,85
Q0039,E,72,E,72
Q0040,A,97,A,97
Q0041,D,96,D,96
Q0042,C,92,C,92
Q0043,A,92,A,92
Q0044,C,96,C,96
Q0045,B,78,B,78
Q0046,E,78,E,78
Q0047,C,92,C,92
Q0048,A,88,A,88
Q0049,B,72,B,72
Q0050,D,93,D,93
Q0051,E,92,E,95
Q0052,A,88,A,88
Q0053,D,93,D,93
Q0054,C,83,D,64
Q0055,B,96,B,96
Q0056,B,96,B,96
Q0057,C,97,C,97
Q0058,B,86,B,86
Q0059,C,95,C,95
Q0060,C,90,C,90
Q0061,D,96,D,96
Q0062,A,97,A,97
Q0063,D,78,D,78
Q0064,A,90,A,90
Q0065,C,82,C,82
Q0066,C,85,C,85
Q0067,D,97,D,97
Q0068,C,92,C,92
Q0069,D,97,D,97
Q0070,A,72,A,72
Q0071,A,87,A,87
Q0072,A,86,A,86
Q0073,C,72,E,78
Q0074,C,78,C,78
Q0075,C,92,C,92
Q0076,A,99,A,99
Q0077,B,92,B,92
Q0078,B,86,B,86
Q0079,D,97,D,97
Q0080,C,92,C,92
Q0081,B,90,B,90
Q0082,B,78,B,78
Q0083,C,92,C,92
Q0084,B,93,B,93
Q0085,D,96,D,96
Q0086,C,92,C,92
Q0087,C,92,C,92
Q0088,D,88,D,88
Q0089,C,84,C,84
Q0090,C,95,C,95
Q0091,E,96,E,96
Q0092,B,78,B,78
Q0093,D,95,D,95
Q0094,E,89,E,89
Q0095,C,94,C,94
Q0096,D,92,D,92
Q0097,A,78,A,78
Q0098,B,94,B,94
Q0099,C,87,C,87
Q0100,C,98,C,99
Q0101,E,92,E,92
Q0102,A,96,A,96
Q0103,A,91,A,91
Q0104,A,99,A,99
Q0105,C,92,C,92
Q0106,B,98,B,98
Q0107,C,72,C,72
Q0108,A,84,A,84
Q0109,E,83,E,83
Q0110,C,72,C,72
Q0111,D,93,D,93
Q0112,C,93,C,93
Q0113,B,78,B,78
Q0114,D,92,D,92
Q0115,D,78,C,68
Q0116,E,83,E,83
Q0117,D,92,D,92
Q0118,D,88,D,88
Q0119,E,97,E,97
Q0120,C,93,C,93
Q0121,D,88,D,88
Q0122,B,96,B,96
Q0123,E,98,E,98
Q0124,A,78,A,78
Q0125,B,95,B,95
Q0126,A,90,A,90
Q0127,A,92,A,92
Q0128,D,95,D,95
Q0129,C,77,C,77
Q0130,A,94,A,94
Q0131,B,98,B,98
Q0132,B,94,B,94
Q0133,A,90,A,90
Q0134,B,87,B,90
Q0135,A,95,A,95
Q0136,C,92,C,92
Q0137,D,86,D,86
Q0138,E,96,E,96
Q0139,C,93,C,93
Q0140,C,72,C,72
Q0141,D,92,D,92
Q0142,A,85,A,85
Q0143,A,96,A,97
Q0144,B,96,B,96
Q0145,D,78,A,72
Q0146,D,93,D,93
Q0147,D,86,D,86
Q0148,D,86,D,86
Q0149,B,92,B,92
Q0150,E,82,E,82
Q0151,A,92,A,92
Q0152,E,96,E,97
Q0153,A,78,A,78
Q0154,A,92,A,92
Q0155,D,92,D,92
Q0156,E,82,E,82
Q0157,B,92,B,92
Q0158,A,93,A,93
Q0159,D,87,D,87
Q0160,C,86,C,86
Q0161,B,84,B,84
Q0162,B,97,B,97
Q0163,D,97,D,97
Q0164,A,86,A,86
Q0165,A,99,A,99
Q0166,B,93,B,93
Q0167,B,96,B,96
Q0168,D,90,D,90
Q0169,B,93,B,93
Q0170,D,97,D,97
Q0171,C,94,C,94
Q0172,D,92,D,92
Q0173,C,87,C,87
Q0174,A,78,A,82
Q0175,E,96,E,96
Q0176,D,96,D,96
Q0177,E,99,E,99
Q0178,D,97,D,97
Q0179,D,78,D,78
Q0180,D,92,D,92
Q0181,D,78,D,78
Q0182,E,78,E,78
Q0183,B,87,B,87
Q0184,E,93,E,93
Q0185,B,92,B,92
Q0186,D,92,D,92
Q0187,C,92,C,92
Q0188,B,96,B,96
Q0189,E,90,E,88
Q0190,C,96,C,96
Q0191,A,94,A,94
Q0192,D,97,D,97
Q0193,E,95,E,95
Q0194,C,99,C,99
Q0195,C,92,C,92
Q0196,C,93,C,93
Q0197,A,55,A,55
Q0198,C,92,C,92
Q0199,E,72,E,72
Q0200,D,86,D,86
Q0201,B,92,B,92
Q0202,B,92,B,92
Q0203,B,72,C,83
Q0204,A,78,A,78
Q0205,C,96,C,96
Q0206,B,95,B,95
Q0207,D,95,D,95
Q0208,A,92,A,92
Q0209,B,86,B,86
Q0210,A,92,A,92
Q0211,C,93,C,93
Q0212,D,76,D,76
Q0213,A,92,A,92
Q0214,A,94,A,94
Q0215,B,93,B,93
Q0216,A,78,D,84
Q0217,D,86,D,86
Q0218,D,92,D,92
Q0219,E,95,E,95
Q0220,A,96,A,96
Q0221,D,90,D,90
Q0222,A,78,A,78
Q0223,D,72,D,72
Q0224,A,92,A,90
Q0225,C,80,C,80
Q0226,C,95,C,95
Q0227,D,90,D,90
Q0228,D,92,D,92
Q0229,A,80,A,80
Q0230,E,87,E,87
Q0231,C,99,C,99
Q0232,A,78,A,78
Q0233,D,88,D,88
Q0234,B,94,B,94
Q0235,D,75,D,78
Q0236,B,98,B,98
Q0237,A,96,A,96
Q0238,B,78,A,72
Q0239,B,72,B,72
Q0240,A,78,A,78
Q0241,E,93,E,93
Q0242,A,78,A,78
Q0243,C,78,C,78
Q0244,C,84,C,84
Q0245,E,72,B,86
Q0246,D,78,D,78
Q0247,B,72,D,64
Q0248,D,93,D,93
Q0249,C,86,C,86
Q0250,B,95,B,97
Q0251,D,82,D,82
Q0252,B,90,B,88
Q0253,A,70,A,70
Q0254,D,92,D,92
Q0255,A,86,A,86
Q0256,C,92,C,92
Q0257,D,88,D,82
Q0258,D,74,D,74
Q0259,A,78,B,84
Q0260,D,99,D,99
Q0261,C,74,C,74
Q0262,C,92,C,92
Q0263,E,95,E,95
Q0264,C,88,C,88
Q0265,A,72,A,72
Q0266,B,82,B,82
Q0267,B,88,B,88
Q0268,E,93,E,95
Q0269,E,92,E,92
Q0270,D,93,D,93
Q0271,C,98,C,98
Q0272,B,78,B,78
Q0273,C,97,C,97
Q0274,A,82,A,82
Q0275,A,97,A,97
Q0276,A,96,A,96
Q0277,C,90,C,90
Q0278,D,92,D,92
Q0279,D,78,A,66
Q0280,B,92,B,92
Q0281,B,96,B,96
Q0282,D,97,D,97
Q0283,A,78,E,70
Q0284,C,78,C,78
Q0285,C,72,D,61
Q0286,E,83,E,83
Q0287,D,99,D,99
Q0288,A,78,A,78
Q0289,B,82,B,82
Q0290,D,92,D,92
Q0291,A,78,A,78
Q0292,A,92,A,92
Q0293,D,83,D,83
Q0294,A,98,A,98
Q0295,A,92,A,92
Q0296,B,98,B,98
Q0297,A,88,A,88
Q0298,D,86,D,86
Q0299,C,78,E,92
Q0300,B,92,B,92
Q0301,B,78,B,78
Q0302,D,87,D,87
Q0303,A,99,A,99
Q0304,E,78,E,78
Q0305,C,72,A,62
Q0306,B,96,B,96
Q0307,C,78,C,78
Q0308,B,72,B,72
Q0309,C,96,C,96
Q0310,D,98,D,98
Q0311,B,86,B,86
Q0312,D,84,D,84
Q0313,B,93,B,93
Q0314,B,96,B,96
Q0315,A,78,A,78
Q0316,B,94,B,94
Q0317,A,95,A,95
Q0318,B,86,B,86
Q0319,C,82,C,82
Q0320,B,92,B,92
Q0321,D,93,D,93
Q0322,A,78,A,78
Q0323,D,88,D,88
Q0324,C,93,C,93
Q0325,A,94,A,94
Q0326,C,98,C,98
Q0327,B,86,B,86
Q0328,A,88,A,88
Q0329,B,90,B,90
Q0330,B,74,B,74
Q0331,C,88,C,88
Q0332,B,92,B,92
Q0333,D,92,D,92
Q0334,E,78,E,78
Q0335,B,78,B,82
Q0336,B,92,B,92
Q0337,B,72,B,72
Q0338,C,80,C,80
Q0339,A,92,A,92
Q0340,A,94,A,94
Q0341,C,80,C,80
Q0342,C,86,C,86
Q0343,D,97,D,97
Q0344,B,95,B,95
Q0345,A,78,A,78
Q0346,C,92,C,92
Q0347,C,92,C,92
Q0348,A,97,A,97
Q0349,D,78,D,78
Q0350,C,92,C,92
Q0351,C,86,C,86
Q0352,A,92,A,92
Q0353,A,88,A,88
Q0354,B,90,B,92
Q0355,D,92,D,92
Q0356,A,92,A,92
Q0357,A,94,A,94
Q0358,E,92,E,92
Q0359,B,93,B,93
Q0360,D,95,D,97
Q0361,A,92,A,92
Q0362,A,78,A,78
Q0363,D,92,D,92
Q0364,D,93,D,93
Q0365,A,82,A,82
Q0366,D,94,D,94
Q0367,A,93,A,93
Q0368,D,92,D,92
Q0369,D,90,D,90
Q0370,E,88,E,88
